4000	4.20
3950	4.20
3900	4.20
3850	4.20
3800	4.20
3750	4.20
3700	4.20
3650	4.20
3600	4.20
3550	4.20
3500	4.20
3450	4.20
3400	4.20
3350	4.20
3300	4.20
3250	4.20
3200	4.19
3150	4.19
3100	4.19
3050	4.19
3000	4.19
2950	4.19
2900	4.18
2850	4.18
2800	4.18
2750	4.18
2700	4.17
2650	4.17
2600	4.17
2550	4.16
2500	4.16
2450	4.16
2400	4.15
2350	4.15
2300	4.14
2250	4.14
2200	4.13
2150	4.12
2100	4.11
2050	4.10
2000	4.09
1950	4.08
1900	4.06
1850	4.05
1800	4.03
1750	4.00
1700	3.98
1650	3.94
1600	3.91
1550	3.87
1500	3.82
1450	3.77
1400	3.72
1350	3.66
1300	3.60
1250	3.53
1200	3.46
1150	3.39
1100	3.32
1050	3.24
1000	3.16
950	3.08
900	3.00
850	2.91
800	2.82
750	2.73
700	2.63
650	2.54
600	2.43
550	2.33
500	2.22
450	2.10
400	1.98
350	1.86
345	1.84
340	1.83
335	1.82
330	1.80
325	1.79
320	1.78
315	1.76
310	1.75
305	1.73
300	1.72
295	1.71
290	1.69
285	1.68
280	1.66
275	1.65
270	1.63
265	1.62
260	1.60
255	1.59
250	1.57
245	1.56
240	1.54
235	1.53
230	1.51
225	1.50
220	1.48
215	1.46
210	1.45
205	1.43
200	1.41
195	1.40
190	1.38
185	1.36
180	1.34
175	1.32
170	1.31
165	1.29
160	1.27
155	1.25
150	1.23
145	1.21
140	1.19
135	1.17
130	1.15
125	1.13
120	1.11
115	1.09
110	1.06
105	1.04
100	1.02
95	0.99
90	0.97
85	0.94
80	0.91
75	0.89
70	0.86
65	0.83
60	0.80
55	0.77
50	0.73
45	0.697653209
40	0.657753753
35	0.615272297
30	0.56963146
25	0.52
20	0.465102139
15	0.402790268
10	0.328876877
5	0.23255107
1	0.104
0	0
