1.9971,0.11104,0.26094,3250,8.4694,-9.8413,4.8919,8.2867,10.345,7.8135,10.789,12.356,16.864,16.896,13.149,13.263,13.613,15.038,14.65,13.372,15.215,11.045,11.422,9.4922,9.9834,7.9596,6.1733,5.1556
1.7702,1.2251,0.36753,3250,7.3426,-9.8807,5.8666,7.1326,9.5281,10.707,11.232,14.48,17.404,15.777,14.049,14.625,14.331,15.771,14.326,13.683,12.265,13.944,15.499,12.148,8.4215,9.4663,7.6638,6.1596
2.5208,2.525,0.22094,3250,8.6272,-9.8567,7.1366,9.9577,6.5165,10.899,11.275,11.837,17.165,14.483,16.179,14.535,12.729,15.79,12.477,12.437,12.728,12.51,11.943,9.1015,8.5521,7.6336,6.9852,5.777
1.9389,0.42187,0.29531,3250,7.4734,-9.9138,8.1914,8.1369,7.4115,11.229,10.715,14.485,15.507,15.188,15.801,13.986,13.896,14.64,14.371,11.852,11.873,12.638,13.206,11.892,7.9485,8.5866,7.365,5.9929
1.2194,0.012021,0.31915,3250,7.303,-9.9086,5.1824,7.611,7.1715,11.088,11.513,12.638,16.457,15.782,14.151,13.826,13.196,15.101,13.436,14.229,13.46,13.287,11.204,10.507,7.7829,8.1905,5.4433,3.8559
2.5245,0.012384,0.40806,3250,7.1798,-9.8711,4.0833,7.3955,10.238,10.269,11.682,14.349,17.828,14.655,15.979,11.819,13.241,17.636,13.564,12.794,13.394,14.713,13.757,12.385,8.4914,7.8325,7.079,3.6136
1.2381,9.3463,0.52573,3250,5.8473,-9.9064,5.2862,8.1836,9.3359,8.7043,12.098,11.822,15.965,13.475,15.969,14.662,14.264,14.591,13.159,12.832,12.436,12.704,11.815,9.6198,10.319,9.0281,5.3678,5.2727
1.7033,0.012222,0.28539,3250,7.4598,-9.9048,5.0889,8.7913,7.0201,10.329,12.769,12.659,16.301,14.234,15.016,13.874,12.641,16.012,11.582,12.68,12.354,12.766,10.269,10.318,10.099,8.6253,6.2176,4.8772
1.7806,6.0284,0.30142,3250,8.0178,-9.8205,6.2387,7.7528,7.9516,8.5855,12.598,13.575,16.256,13.618,14.339,13.384,12.447,15.646,13.628,11.928,12.867,12.919,13.68,11.272,9.71,8.839,8.2108,7.2199
2.1971,8.407,0.31526,3250,8.5767,-9.819,5.9345,10.141,8.4643,10.353,12.014,15.22,14.845,17.857,14.656,16.903,13.99,14.386,14.808,12.641,12.831,12.574,10.41,11.265,9.1639,8.8118,7.4986,2.9867
2.5908,0.015056,0.25519,3250,8.5014,-9.8475,3.9397,8.5635,8.6056,10.02,11.585,15.157,18.633,13.755,16.452,14.037,14.4,15.658,12.422,12.989,12.704,12.07,11.1,11.603,7.5873,6.7776,7.7218,5.3128
1.3883,9.0522,0.33946,3250,7.0162,-9.9039,6.349,7.6728,8.3948,10.086,11.179,12.35,16.092,14.798,14.222,12.975,13.183,14.468,13.975,14.263,11.339,12.456,12.7,10.96,8.5261,5.7082,7.4692,4.8465
2.3192,0.57965,0.20288,3250,8.767,-9.9004,4.2481,6.9582,9.754,11.691,11.076,12.343,16.993,14.085,13.001,13.927,12.526,16.571,13.868,15.755,12.227,10.945,11.263,8.3193,8.4309,10.582,7.3476,5.7564
